category	county	town	ad_id	date_of_lead	leads	package_type
commercial	Dublin	Dublin 7	5540747	06/12/2017	1	Standard
commercial	Dublin	Kilmainham	5480864	06/12/2017	1	Standard
commercial	Dublin	Leopardstown	5452739	06/12/2017	2	Standard
commercial	Dublin	Park West	5484191	06/12/2017	1	Standard
commercial	Dublin	Santry	5533956	07/12/2017	1	Standard
commercial	Dublin	Ringsend	5512330	08/12/2017	1	Standard
commercial	Dublin	Foxrock	5470258	10/12/2017	1	Standard
commercial	Dublin	Clongriffin	528055	11/12/2017	1	Standard
commercial	Dublin	Dublin 1	5526299	11/12/2017	1	Standard
commercial	Dublin	Dublin 1	5526657	11/12/2017	1	Standard
commercial	Dublin	Dublin 1	5488746	11/12/2017	4	Standard
commercial	Dublin	Dublin 2	5526812	11/12/2017	1	Standard
commercial	Dublin	Clongriffin	528055	12/12/2017	1	Standard
commercial	Dublin	Dublin 2	5526812	12/12/2017	1	Standard
commercial	Dublin	Clongriffin	528055	13/12/2017	1	Standard
commercial	Dublin	Dublin 1	5526299	13/12/2017	1	Standard
commercial	Dublin	Dublin 7	5540747	14/12/2017	1	Standard
commercial	Dublin	Rathcoole	5447252	15/12/2017	1	Standard
commercial	Dublin	Dublin 2	5485919	17/12/2017	1	Standard
commercial	Dublin	Rathmines	5510836	17/12/2017	1	Standard
commercial	Dublin	Clongriffin	528055	18/12/2017	1	Standard
commercial	Dublin	IFSC	5401170	18/12/2017	1	Standard
commercial	Dublin	Rathmines	5510836	18/12/2017	1	Standard
commercial	Dublin	Santry	5394522	18/12/2017	1	Standard
commercial	Dublin	Clongriffin	528055	19/12/2017	1	Standard
commercial	Dublin	Dublin 2	5527660	19/12/2017	1	Standard
commercial	Dublin	Leopardstown	5452739	19/12/2017	1	Standard
commercial	Dublin	Dublin 2	5527660	20/12/2017	1	Standard
commercial	Dublin	Dublin 2	5526812	20/12/2017	2	Standard
commercial	Dublin	Park West	5484191	20/12/2017	1	Standard
commercial	Dublin	Dublin 2	5396087	21/12/2017	1	Standard
commercial	Dublin	Dublin 2	5319742	21/12/2017	1	Standard
commercial	Dublin	Rathmines	5510836	21/12/2017	1	Standard
commercial	Dublin	Dublin 1	5461344	22/12/2017	1	Standard
commercial	Dublin	Tyrrelstown	5527981	23/12/2017	1	Standard
commercial	Dublin	Finglas	5386355	25/12/2017	1	Standard
commercial	Dublin	Leopardstown	5113408	25/12/2017	19	Standard
commercial	Dublin	Dublin 7	5540747	26/12/2017	1	Standard
commercial	Dublin	Rathmines	5510836	26/12/2017	1	Standard
commercial	Dublin	Dublin 1	5526657	27/12/2017	2	Standard
commercial	Dublin	Dublin 2	545193	27/12/2017	1	Standard
commercial	Dublin	Dublin 2	5319742	27/12/2017	1	Standard
commercial	Dublin	Dublin 2	5456617	27/12/2017	1	Standard
commercial	Dublin	Leopardstown	5452739	28/12/2017	1	Standard
commercial	Kildare	Naas	5477528	28/12/2017	1	Standard
commercial	Dublin	Dublin 2	5485919	29/12/2017	1	Standard
commercial	Dublin	Dublin 2	5482405	29/12/2017	1	Standard
commercial	Dublin	Dublin 1	5526657	31/12/2017	1	Standard
commercial	Dublin	Leopardstown	5113408	01/01/2018	1	Standard
commercial	Dublin	Rathmines	5510836	01/01/2018	2	Standard
commercial	Dublin	Ballsbridge	5465284	02/01/2018	1	Standard
commercial	Dublin	Blackrock	5309766	02/01/2018	1	Standard
commercial	Dublin	Dublin 1	5509876	02/01/2018	1	Standard
commercial	Dublin	Dublin 2	5491100	02/01/2018	1	Standard
commercial	Dublin	Dublin 2	5482405	02/01/2018	1	Standard
commercial	Dublin	Dublin 2	5506467	02/01/2018	1	Standard
commercial	Dublin	Dublin 2	5346753	02/01/2018	1	Standard
commercial	Dublin	Park West	5484191	02/01/2018	1	Standard
commercial	Dublin	Rathmines	5510836	02/01/2018	1	Standard
commercial	Dublin	Park West	5469122	03/01/2018	1	Standard
commercial	Dublin	Clongriffin	528055	04/01/2018	1	Standard
commercial	Dublin	Santry	5533956	04/01/2018	1	Standard
commercial	Dublin	Balbriggan	5429452	05/01/2018	1	Standard
commercial	Dublin	Dublin 1	5509876	05/01/2018	1	Standard
commercial	Dublin	Dublin 7	5540747	05/01/2018	1	Standard
commercial	Dublin	Leopardstown	5474465	05/01/2018	1	Standard
commercial	Dublin	Park West	5484191	05/01/2018	1	Standard
commercial	Dublin	Rathmines	5510836	05/01/2018	1	Standard
commercial	Dublin	Blackrock	5518972	07/01/2018	1	Standard
